id,"campus","building_name","building_address","latitude","longitude","created_at","updated_at"
1,"Campus Lindholmen","Yrgo","Lärdomsgatan 3, 417 56 Göteborg","57.7053509","11.9362301","2018-05-17 13:17:00","2018-05-17 13:32:14"
7,"Campus Lindholmen","Polhemsgymnasiet","Diagonalen 4, 417 56 Göteborg","57.7058883","11.933934","2018-05-18 11:20:04","2018-05-18 11:20:04"
8,"Campus Lindholmen","Bräckegymnasiet","Närgången 2, Göteborg","57.706599","11.936129","2018-05-18 11:20:04","2018-05-18 11:20:04"
9,"Campus Lindholmen","Ester Mosessons Gymnasium","Forskningsgången 20, Göteborg","57.706600","11.937272","2018-05-18 11:20:04","2018-05-18 11:20:04"
10,"Campus Lindholmen","Älvstrandens Bibliotek","Diagonalen 12, Göteborg","57.706128","11.939037","2018-05-18 11:20:04","2018-05-18 11:20:04"
20,"Högskolan i Borås","Balder: Del A","Allégatan 1, Borås","57.724390","12.941210","2018-05-18 11:20:04","2018-05-18 11:20:04"
21,"Högskolan i Borås","Balder: Del B","Allégatan 1, Borås","57.724690","12.941410","2018-05-18 11:20:04","2018-05-18 11:20:04"
22,"Högskolan i Borås","Balder: Del C","Allégatan 1, Borås","57.724690","12.940410","2018-05-18 11:20:04","2018-05-18 11:20:04"
23,"Högskolan i Borås","Balder: Del D","Allégatan 1, Borås","57.723990","12.940410","2018-05-18 11:20:04","2018-05-18 11:20:04"
24,"Högskolan i Borås","Sandgärdet: Del H","Järnvägsgatan 5, Borås","57.724990","12.940010","2018-05-18 11:20:04","2018-05-18 11:20:04"
25,"Högskolan i Borås","Sandgärdet: Del L","Järnvägsgatan 5, Borås","57.724630","12.940210","2018-05-18 11:20:04","2018-05-18 11:20:04"
30,"Chalmers - Campus Johanneberg","Eklandagatan 86","Eklandagatan 86","57.685355","11.982334","2018-05-18 11:20:04","2018-05-18 11:20:04"
31,"Chalmers - Campus Johanneberg","Fysik Soliden","Origovägen 6B","57.690108","11.974878","2018-05-18 11:20:04","2018-05-18 11:20:04"
32,"Chalmers - Campus Johanneberg","Fysik Origo","Kemigården 1","57.690426","11.976381","2018-05-18 11:20:04","2018-05-18 11:20:04"
33,"Chalmers - Campus Johanneberg","Samhällsbyggnad 1","Sven Hultins gata 6","57.687496","11.976331","2018-05-18 11:20:04","2018-05-18 11:20:04"
34,"Chalmers - Campus Johanneberg","Biblioteket","Chalmers Tvärgata 1","57.690316","11.978776","2018-05-18 11:20:04","2018-05-18 11:20:04"
35,"Chalmers - Campus Johanneberg","Elektroteknik","Hörsalsvägen 11","57.687750","11.979772","2018-05-18 11:20:04","2018-05-18 11:20:04"
40,"Göteborgs universitet - Campus Haga och Linné","Psykologen","Haraldsgatan 1","57.689876","11.954096","2018-05-18 11:20:04","2018-05-18 11:20:04"
41,"Göteborgs universitet - Campus Haga och Linné","Samvetet Dragonen","Sprängkullsgatan 19","57.697710","11.960424","2018-05-18 11:20:04","2018-05-18 11:20:04"
42,"Göteborgs universitet - Campus Haga och Linné","Samvetet Husaren","Pilgatan 19","57.696985","11.959476","2018-05-18 11:20:04","2018-05-18 11:20:04"
43,"Göteborgs universitet - Campus Haga och Linné","Samvetet Sappören","Sprängkullsgatan 25","57.696421","11.959549","2018-05-18 11:20:04","2018-05-18 11:20:04"
44,"Göteborgs universitet - Campus Haga och Linné","Samvetet Hörängen","Dynamitsprånget 99","57.696683","11.959375","2018-05-18 11:20:04","2018-05-18 11:20:04"
50,"Lund Centrum","Finngatan 10","Finngatan 10","55.707175","13.200274","2018-05-18 11:20:04","2018-05-18 11:20:04"
51,"Lund Centrum","Finngatan 12","Finngatan 12","55.707068","13.200800","2018-05-18 11:20:04","2018-05-18 11:20:04"
52,"Lund Centrum","Gamla kirurgen","Sandgatan 3","55.707151","13.195486","2018-05-18 11:20:04","2018-05-18 11:20:04"
53,"Lund Centrum","Geocentrum 1","Sölvegatan 10","55.708663","13.200247","2018-05-18 11:20:04","2018-05-18 11:20:04"
54,"Lund Centrum","Kulturanatomen","Biskopsgatan 7","55.706007","13.200492","2018-05-18 11:20:04","2018-05-18 11:20:04"
55,"Lund Centrum","Universitetsbiblioteket UB","Helgonabacken","55.708794","13.199598","2018-05-18 11:20:04","2018-05-18 11:20:04"
60,"Campus Umeå","Biologihuset","Johan Bures väg 12","63.819759","20.305699","2018-05-18 11:20:04","2018-05-18 11:20:04"
61,"Campus Umeå","Aula Nordica","Universums gränd 4","63.820745","20.301066","2018-05-18 11:20:04","2018-05-18 11:20:04"
62,"Campus Umeå","Kemihuset","Linnaeus väg 10","63.819606","20.310062","2018-05-18 11:20:04","2018-05-18 11:20:04"
63,"Campus Umeå","Norra Beteendevetarhuset","Humanioragränd 5","63.823102","20.308516","2018-05-18 11:20:04","2018-05-18 11:20:04"
64,"Campus Umeå","Wallenberglab","Parallellvägen 19","63.818664","20.312011","2018-05-18 11:20:04","2018-05-18 11:20:04"
65,"Campus Umeå","Teknikhuset","Håken Gullesons väg 20","63.820440","20.309940","2018-05-18 11:20:04","2018-05-18 11:20:04"
66,"Campus Umeå","Samverkanshuset","Universitetstorget 4","63.820186","20.300827","2018-05-18 11:20:04","2018-05-18 11:20:04"
